Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude
-73.95090485,40.80255127,-73.89974976,40.86746979
-73.98114777,40.68466949,-73.95979309,40.67214584
-73.84249878,40.84041977,-73.83113098,40.82875061
-73.95529175,40.68116379,-73.90924835,40.66416168
-73.95397186,40.7123909,-73.91986847,40.70820618
-73.96708679,40.68355942,-73.95623779,40.6673851
-73.9544754,40.73106384,-73.99252319,40.71176529
-73.95491791,40.80501556,-73.94841003,40.80908585
-73.94806671,40.79833221,-73.91635895,40.83579254
-73.91807556,40.77021408,-73.92203522,40.7633934
-73.93923187,40.69211197,-73.95589447,40.71668625
-73.88869476,40.74729919,-73.88962555,40.75727463
-73.86250305,40.73041916,-73.76830292,40.70630264
-73.8081665,40.6992569,-73.80474854,40.69616699
-73.98701477,40.69200516,-73.98255157,40.68048477
-73.92523956,40.76228714,-73.92050171,40.76787567
-73.9634552,40.7101593,-73.92397308,40.69424438
-73.91210938,40.77523041,-73.90145874,40.77303696
-73.99452209,40.70299149,-73.9438858,40.78236389
-73.95181274,40.71477127,-73.94329834,40.69610596
-73.91727448,40.76499176,-73.90618134,40.7727356
-73.9681778,40.6895256,-74.00820923,40.74312973
-73.96822357,40.67295837,-73.95199585,40.67536163
-73.96244049,40.71001816,-73.99108887,40.71728897
-73.9943924,40.70300293,-73.99575806,40.75416183
-73.9214859,40.69849777,-73.96139526,40.73244858
-73.89540863,40.74634933,-73.90635681,40.74546051
-73.96331024,40.71022034,-73.98705292,40.72914505
-73.95523834,40.72018051,-73.95687866,40.72095871
-73.95763397,40.73013687,-73.95661926,40.72192383
-73.91172028,40.76768875,-73.87552643,40.7567215
-73.92308044,40.70670319,-73.94768524,40.67517853
-73.94101715,40.82426071,-73.94103241,40.8242569
-73.91941071,40.75843811,-73.90952301,40.78176117
-73.94306183,40.80262375,-73.93997955,40.81955719
-73.91192627,40.77527237,-73.89380646,40.77096558
-73.92949677,40.86239624,-73.93240356,40.85335541
-73.90887451,40.82393265,-73.91963196,40.80383682
-73.91461182,40.74476624,-73.91445923,40.7444458
-73.9196701,40.76610565,-73.91357422,40.765625
-73.98228455,40.68309021,-73.92678833,40.75736618
-73.92045593,40.7431221,-73.87958527,40.74040222
-73.91120911,40.84492874,-73.88270569,40.85371017
-73.98022461,40.67557907,-74.0092392,40.73820877
-73.93828583,40.72126389,-73.93531799,40.69180298
-73.96620941,40.71593475,-73.91985321,40.68599319
-73.97423553,40.67961121,-73.95401764,40.6656456
-73.94974518,40.68030548,-73.9572525,40.80104828
-73.96174622,40.71383286,-73.93763733,40.68621445
-73.9480896,40.82946014,-73.94490814,40.83392715
-73.94551849,40.71152115,-73.95859528,40.70454407
-73.95713043,40.66305542,-73.93983459,40.68447876
-73.95471954,40.68652344,-73.99227905,40.69485092
-73.95256042,40.81077576,-73.94271088,40.80299377
-73.96113586,40.71895981,-74.00229645,40.72656631
-73.9658432,40.71282959,-73.93427277,40.69423294
-73.96068573,40.80165482,-73.96096802,40.80229187
-73.99463654,40.70297241,-73.95909119,40.68417358
-73.95796204,40.72182465,-73.94722748,40.77629089
-73.973526,40.67735291,-73.97857666,40.78329849
-73.86649323,40.75760269,-73.89536285,40.73903656
-73.94012451,40.67994308,-73.94381714,40.67043304
-73.97499847,40.67528534,-74.01190186,40.61250687
-73.96494293,40.68307114,-73.9615097,40.66622543
-73.94835663,40.81404877,-73.96601868,40.79998016
-73.94130707,40.81373978,-73.97498322,40.71975708
-73.9753952,40.67458725,-73.98806763,40.66744614
-73.9468689,40.59091568,-73.94687653,40.59091568
-73.94844818,40.79489517,-73.93008423,40.86162949
-73.97053528,40.6723671,-73.99041748,40.6613884
-73.97499084,40.67686844,-73.95127106,40.66472626
-73.95899963,40.71667099,-73.94407654,40.71248627
-73.98744965,40.69119644,-73.91294861,40.74603653
-73.97289276,40.67785645,-73.94763184,40.77537537
-73.98967743,40.70180511,-73.97297668,40.67347336
-73.95353699,40.72830582,-74.00496674,40.7210083
-73.95444489,40.81596375,-73.94515228,40.81335068
-73.96321869,40.71024323,-73.94303131,40.71607208
-73.94245911,40.81724167,-73.952034,40.80918503
-73.96063995,40.65957642,-73.94754791,40.6592598
-73.87277985,40.74900436,-73.88821411,40.74726105
-73.94788361,40.80874634,-73.94593811,40.78615952
-73.88485718,40.74753571,-73.85948181,40.75442505
-73.97853088,40.6934433,-73.95497131,40.69313049
-73.94231415,40.80648804,-73.94182587,40.81626511
-73.94023132,40.85128784,-73.96955109,40.79526138
-73.9200058,40.75783539,-73.93145752,40.76921082
-73.91984558,40.80678177,-73.947258,40.79100418
-73.94264984,40.7147522,-73.96212006,40.71990585
-73.99449158,40.70302582,-73.97781372,40.68440247
-73.95812988,40.73307419,-73.95668793,40.7132225
-73.91953278,40.83216095,-73.88037109,40.87986374
-73.951828,40.6913681,-73.9943161,40.6895256
-73.96299744,40.71188736,-74.01219177,40.70805359
